Region	Month	Month Nr	Maximum Temperature (Degrees C)	Minimum Temperature (Degrees C)	Mean Temperature (Degrees C)	Sunshine (Total hours)	Rainfall (mm)	Raindays>=1.0mm	Days of Air Frost
North England	Jan	01	5.65	0.39	3.02	37.44	91.60	7.63	6.54
North England	Feb	02	6.10	0.38	3.24	54.20	68.85	5.91	6.24
North England	Mar	03	8.26	1.43	4.84	84.14	64.68	6.29	4.47
North England	Apr	04	11.00	3.07	7.03	114.77	58.64	5.71	2.38
North England	May	05	14.49	5.71	10.09	148.64	62.23	5.75	0.58
North England	Jun	06	17.35	8.51	12.92	145.15	65.44	5.55	0.04
North England	Jul	07	19.01	10.54	14.77	138.20	77.02	5.60	0.00
North England	Aug	08	18.68	10.42	14.54	129.02	87.94	6.18	0.00
North England	Sep	09	16.27	8.55	12.40	99.97	78.74	5.86	0.08
North England	Oct	10	12.59	5.90	9.24	73.99	90.97	6.82	0.76
North England	Nov	11	8.42	2.78	5.60	45.72	94.95	7.46	3.31
North England	Dec	12	6.34	1.13	3.73	33.13	95.69	7.34	5.87
South England	Jan	01	6.82	1.21	4.02	43.96	76.72	6.94	5.58
South England	Feb	02	7.26	1.12	4.18	59.20	56.64	5.42	5.36
South England	Mar	03	9.69	2.19	5.94	94.36	54.71	5.61	3.54
South England	Apr	04	12.50	3.85	8.17	128.69	51.10	5.29	1.71
South England	May	05	16.06	6.67	11.36	159.14	55.37	5.25	0.31
South England	Jun	06	18.99	9.45	14.22	162.39	52.91	4.65	0.01
South England	Jul	07	20.83	11.44	16.14	160.00	61.06	4.55	0.00
South England	Aug	08	20.59	11.33	15.95	149.88	66.89	5.00	0.00
South England	Sep	09	18.07	9.44	13.75	115.90	62.28	4.92	0.03
South England	Oct	10	14.11	6.73	10.42	85.62	76.35	5.88	0.54
South England	Nov	11	9.75	3.56	6.65	52.51	81.72	6.54	2.64
South England	Dec	12	7.50	1.96	4.73	39.42	81.47	6.57	4.95
East & North East England	Jan	01	5.70	0.29	2.99	41.08	70.86	6.92	6.59
East & North East England	Feb	02	6.23	0.31	3.27	56.98	54.17	5.49	6.24
East & North East England	Mar	03	8.43	1.38	4.90	87.12	52.41	5.74	4.43
East & North East England	Apr	04	11.14	3.00	7.07	116.31	49.91	5.36	2.34
East & North East England	May	05	14.46	5.61	10.03	149.74	54.18	5.35	0.57
East & North East England	Jun	06	17.50	8.42	12.95	147.04	56.78	5.14	0.03
East & North East England	Jul	07	19.35	10.45	14.91	142.53	65.56	5.11	0.00
East & North East England	Aug	08	19.06	10.34	14.69	132.96	73.61	5.57	0.00
East & North East England	Sep	09	16.61	8.49	12.53	104.80	61.04	5.13	0.08
East & North East England	Oct	10	12.84	5.83	9.32	78.69	69.91	6.01	0.74
East & North East England	Nov	11	8.54	2.71	5.61	49.33	75.54	6.79	3.32
East & North East England	Dec	12	6.37	1.03	3.69	36.59	72.55	6.59	5.95
North West England/North Wales	Jan	01	6.00	0.85	3.42	35.03	128.98	8.75	6.12
North West England/North Wales	Feb	02	6.26	0.71	3.50	53.48	95.94	6.65	5.92
North West England/North Wales	Mar	03	8.25	1.70	4.97	84.56	87.75	7.17	4.34
North West England/North Wales	Apr	04	10.91	3.30	7.10	118.54	73.70	6.33	2.36
North West England/North Wales	May	05	14.46	5.95	10.19	151.97	76.92	6.42	0.60
North West England/North Wales	Jun	06	17.04	8.68	12.84	146.71	80.13	6.11	0.05
North West England/North Wales	Jul	07	18.46	10.64	14.54	135.02	95.55	6.29	0.00
North West England/North Wales	Aug	08	18.14	10.57	14.33	126.21	111.26	7.02	0.00
North West England/North Wales	Sep	09	15.92	8.74	12.34	96.57	110.31	6.95	0.09
North West England/North Wales	Oct	10	12.52	6.20	9.36	70.95	130.31	8.12	0.75
North West England/North Wales	Nov	11	8.64	3.15	5.89	42.39	133.70	8.72	3.05
North West England/North Wales	Dec	12	6.70	1.58	4.14	30.08	138.35	8.61	5.38
South West England/South Wales	Jan	01	7.16	1.83	4.50	42.42	133.42	8.79	4.99
South West England/South Wales	Feb	02	7.30	1.61	4.44	59.75	96.94	6.76	4.90
South West England/South Wales	Mar	03	9.29	2.56	5.92	94.71	88.26	6.89	3.34
South West England/South Wales	Apr	04	11.82	3.98	7.90	133.60	72.14	6.01	1.70
South West England/South Wales	May	05	15.09	6.70	10.88	158.49	74.63	6.07	0.35
South West England/South Wales	Jun	06	17.80	9.37	13.58	160.61	69.97	5.33	0.02
South West England/South Wales	Jul	07	19.36	11.27	15.32	154.21	83.26	5.41	0.00
South West England/South Wales	Aug	08	19.15	11.23	15.19	144.66	96.70	6.18	0.00
South West England/South Wales	Sep	09	17.05	9.49	13.28	112.51	95.25	6.20	0.05
South West England/South Wales	Oct	10	13.61	7.06	10.34	80.74	125.63	7.72	0.48
South West England/South Wales	Nov	11	9.85	4.06	6.94	51.46	134.78	8.42	2.23
South West England/South Wales	Dec	12	7.90	2.60	5.24	38.08	142.09	8.47	4.24
South East England and South Central England	Jan	01	6.96	1.27	4.12	45.52	78.80	6.86	5.70
South East England and South Central England	Feb	02	7.40	1.17	4.28	61.17	56.86	5.26	5.41
South East England and South Central England	Mar	03	9.91	2.29	6.11	98.36	54.08	5.39	3.60
South East England and South Central England	Apr	04	12.78	3.95	8.36	134.06	50.87	5.11	1.76
South East England and South Central England	May	05	16.44	6.86	11.65	165.26	53.05	5.07	0.32
South East England and South Central England	Jun	06	19.37	9.63	14.50	170.76	50.02	4.33	0.01
South East England and South Central England	Jul	07	21.23	11.66	16.45	169.47	56.86	4.17	0.00
